month,meter,unit,type,cons,rate,band,actual_consumption_charge,actual_tax,actual_csrv,actual_total,expected_cc,expected_stamp,expected_csrv,expected_total,total_diff,pct_error,status
01,90392880,Retail-405,ELECTRICITY,4136.99,2.33,4,9642.67,132.0,40.0,9814.669,9639.19,132.38,40,9811.57,3.1,0.03,OK_MIN
01,90392881,Retail-503,ELECTRICITY,3276.866,2.33,4,7639.06,104.0,40.0,7783.056,7635.1,104.86,40,7779.96,3.1,0.04,OK_MIN
01,88747143,Retail-403,ELECTRICITY,1948.891,2.33,4,4544.38,62.0,40.0,4646.378,4540.91,62.36,40,4643.27,3.11,0.07,OK_MIN
01,88747138,Offices-6-4-2,ELECTRICITY,199.546,1.68,1,338.72,6.0,15.0,359.721,335.24,6.39,15,356.63,3.09,0.87,OK_MIN
01,88747162,Offices-5-4-7,ELECTRICITY,517.247,2.2,2,1141.59,16.0,20.0,1177.593,1137.94,16.55,20,1174.49,3.1,0.26,OK_MIN
01,88747055,Offices-6-4-13,ELECTRICITY,62.471,0.85,0,57.2,1.0,5.0,63.199,53.1,2.0,5,60.1,3.1,5.16,MARGINAL
01,88747137,Offices-4-2-9,ELECTRICITY,376.105,2.2,2,830.57,12.0,20.0,862.565,827.43,12.04,20,859.47,3.1,0.36,OK_MIN
01,88747175,Offices-2-4-6/7/8,ELECTRICITY,3208.433,2.33,4,7479.42,102.0,40.0,7621.418,7475.65,102.67,40,7618.32,3.1,0.04,OK_MIN
01,88747164,Offices-7-1-3,ELECTRICITY,119.694,1.68,1,205.01,3.0,15.0,223.015,201.09,3.83,15,219.92,3.09,1.41,OK_MIN
01,88747145,Offices-5-2-4,ELECTRICITY,3.886,0.85,0,6.53,0.0,5.0,11.526,3.3,0.12,5,9.1,2.43,26.7,MARGINAL
01,88546838,Offices-7-4-6,ELECTRICITY,0.001,0.85,0,12.1,0.0,0.0,12.1,0.0,0.0,5,9.1,3.0,32.97,MARGINAL
01,88546844,Offices-4-4-10,ELECTRICITY,0.003,0.85,0,12.1,0.0,0.0,12.1,0.0,0.0,5,9.1,3.0,32.97,MARGINAL
01,88546845,Offices-4-1-10,ELECTRICITY,287.304,2.2,2,635.36,9.0,20.0,664.36,632.07,9.19,20,661.26,3.1,0.47,OK_MIN
01,88546837,Offices-7-1-1,ELECTRICITY,227.052,1.68,1,384.81,7.0,15.0,406.812,381.45,7.27,15,403.72,3.09,0.77,OK_MIN
01,88546847,Offices-6-4-7,ELECTRICITY,601.532,2.2,3,1326.83,19.0,25.0,1370.826,1323.37,19.25,25,1367.62,3.21,0.23,OK_MIN
01,88546843,Offices-6-4-8/9,ELECTRICITY,1502.184,2.33,4,3503.26,48.0,40.0,3591.257,3500.09,48.07,40,3588.16,3.1,0.09,OK_MIN
01,88546832,Offices-5-2-7,ELECTRICITY,1091.542,2.33,4,2547.32,34.0,40.0,2621.321,2543.29,34.93,40,2618.22,3.1,0.12,OK_MIN
01,88546840,Offices-4-2-12,ELECTRICITY,6.124,0.85,0,8.5,0.0,5.0,13.5,5.21,0.2,5,10.41,3.09,29.68,MARGINAL
01,88546841,Offices-4-0-6,ELECTRICITY,117.118,1.68,1,200.6,3.0,15.0,218.605,196.76,3.75,15,215.51,3.09,1.43,OK_MIN
01,88747146,Retail-404,ELECTRICITY,2675.38,2.33,4,6237.35,85.0,40.0,6362.347,6233.64,85.61,40,6359.25,3.1,0.05,OK_MIN
01,89384496,Retail-703,ELECTRICITY,15906.848,2.33,4,37066.07,509.0,40.0,37615.074,37062.96,509.02,40,37611.98,3.09,0.01,OK_MIN
01,88546865,Offices-4-3-2,ELECTRICITY,271.44,2.2,2,600.95,8.0,20.0,628.954,597.17,8.69,20,625.86,3.09,0.49,OK_MIN
01,88546846,Offices-4-3-3,ELECTRICITY,913.613,2.2,3,2035.24,29.0,25.0,2089.235,2009.95,29.24,25,2064.19,25.05,1.21,MISMATCH
01,89384486,Rowad-building,ELECTRICITY,11599.278,2.33,4,27029.59,371.0,40.0,27440.593,27026.32,371.18,40,27437.5,3.09,0.01,OK_MIN
01,89384490,Rowad-building,ELECTRICITY,8090.24,2.33,4,18854.25,258.0,40.0,19152.246,18850.26,258.89,40,19149.15,3.1,0.02,OK_MIN
